id,name,coordinates_x,coordinates_y,creationDate,numberOfParticipants,albumsCount,establishmentDate,genre,label_sales
2,Radiohead,25,200,2023-03-28T15:42:12,5,9,1985-01-01,BLUES,750000.0
3,Radiohead,25,210,2020-03-28T15:42:12,5,9,1980-01-01,JAZZ,750000.0
4,Nirvana,30,120,2020-01-17T04:15:27,3,3,1987-01-01,POST_ROCK,500000.0
5,Queen,20,160,2012-09-09T13:50:59,4,15,1970-01-01,PUNK_ROCK,850000.75
6,Miles Davis,5,90,2024-06-21T19:08:41,6,50,1949-01-01,JAZZ,400000.0
7,Metallica,40,220,2003-12-03T11:37:18,4,10,1981-01-01,MATH_ROCK,700000.0
8,sdf,213,214,2026-02-17T17:11:45.434899700,234,234,2222-12-12,JAZZ,544.4
1,The Beatles,10,150,2015-07-12T08:23:45,4,12,1960-01-01,JAZZ,1000000.5
9,adf,324,234,2026-04-10T00:08:22.963759800,324,234,1111-12-12,JAZZ,234.0
10,sdf,234,234,2026-04-10T02:21:07.746627400,234,324,1212-12-12,JAZZ,234.234
